,Year,Quarter,Published_tasking_outcome _note1,Pre_arranged_Transfer,Rescue_or_Recovery,Search_Only,Support,Total
42,2018,Jan to Mar,Terminated,5,34,27,53,119
43,2018,Jan to Mar,Total,78,331,98,94,601
44,2018,Apr to Jun,Completed,69,356,76,35,536
45,2018,Apr to Jun,Other,2,6,1,12,21
46,2018,Apr to Jun,Terminated,5,37,21,63,126
47,2018,Apr to Jun,Total,76,399,98,110,683
48,2018,Jul to Sep,Completed,85,368,106,55,614
49,2018,Jul to Sep,Other,1,1,7,7,16
50,2018,Jul to Sep,Terminated,1,25,42,100,168
51,2018,Jul to Sep,Total,87,394,155,162,798
52,2018,Oct to Dec,Completed,95,210,76,28,409
53,2018,Oct to Dec,Other,0,1,5,7,13
54,2018,Oct to Dec,Terminated,2,10,29,52,93
55,2018,Oct to Dec,Total,97,221,110,87,515
56,2019,Jan to Mar,Completed,79,174,64,21,338
57,2019,Jan to Mar,Other,0,0,2,7,9
58,2019,Jan to Mar,Terminated,2,19,23,51,95
59,2019,Jan to Mar,Total,81,193,89,79,442
60,2019,Apr to Jun,Completed,68,322,67,47,504
61,2019,Apr to Jun,Other,0,2,2,4,8
62,2019,Apr to Jun,Terminated,5,33,34,68,140
63,2019,Apr to Jun,Total,73,357,103,119,652
64,2019,Jul to Sep,Completed,79,374,75,45,573
65,2019,Jul to Sep,Other,0,2,2,2,6
66,2019,Jul to Sep,Terminated,1,54,44,86,185
67,2019,Jul to Sep,Total,80,430,121,133,764
68,2019,Oct to Dec,Completed,102,225,58,10,395
69,2019,Oct to Dec,Other,1,0,3,7,11
70,2019,Oct to Dec,Terminated,4,35,36,26,101
71,2019,Oct to Dec,Total,107,260,97,43,507
72,2020,Jan to Mar,Completed,78,162,65,17,322
73,2020,Jan to Mar,Other,7,1,1,4,13
74,2020,Jan to Mar,Terminated,2,39,33,48,122
75,2020,Jan to Mar,Total,87,202,99,69,457
76,2020,Apr to Jun [note 3],Completed,47,141,42,55,285
77,2020,Apr to Jun [note 3],Other,1,2,3,10,16
78,2020,Apr to Jun [note 3],Terminated,1,35,41,61,138
79,2020,Apr to Jun [note 3],Total,49,178,86,126,439
80,2020,Jul to Sep,Completed,84,384,64,96,628
81,2020,Jul to Sep,Other,0,6,2,10,18
82,2020,Jul to Sep,Terminated,2,73,47,115,237
83,2020,Jul to Sep,Total,86,463,113,221,883
84,2020,Oct to Dec,Completed,78,174,54,28,334
85,2020,Oct to Dec,Other,0,2,2,4,8
86,2020,Oct to Dec,Terminated,2,19,19,53,93
87,2020,Oct to Dec,Total,80,195,75,85,435
88,2021,Jan to Mar,Completed,94,139,48,28,309
89,2021,Jan to Mar,Other,0,1,1,4,6
90,2021,Jan to Mar,Terminated,4,26,22,54,106
91,2021,Jan to Mar,Total,98,166,71,86,421
92,2021,Apr to Jun,Completed,57,317,62,47,483
93,2021,Apr to Jun,Other,0,6,3,7,16
94,2021,Apr to Jun,Terminated,3,39,32,92,166
95,2021,Apr to Jun,Total,60,362,97,146,665
96,2021,Jul to Sep,Completed,89,444,93,52,678
97,2021,Jul to Sep,Other,3,11,5,14,33
98,2021,Jul to Sep,Terminated,5,69,62,131,267
99,2021,Jul to Sep,Total,97,524,160,197,978
100,2021,Oct to Dec,Completed,114,202,67,26,409
101,2021,Oct to Dec,Other,1,1,10,5,17
102,2021,Oct to Dec,Terminated,4,34,49,48,135
103,2021,Oct to Dec,Total,119,237,126,79,561
104,2022,Jan to Mar,Completed,73,221,57,32,383
105,2022,Jan to Mar,Other,2,3,6,17,28
106,2022,Jan to Mar,Terminated,5,60,16,51,132
107,2022,Jan to Mar,Total,80,284,79,100,543
108,2022,Apr to Jun,Completed,68,332,75,38,513
109,2022,Apr to Jun,Other,4,3,2,11,20
110,2022,Apr to Jun,Terminated,3,63,26,128,220
111,2022,Apr to Jun,Total,75,398,103,177,753
112,2022,Jul to Sep,Completed,62,358,94,52,566
113,2022,Jul to Sep,Other,3,10,0,12,25
114,2022,Jul to Sep,Terminated,3,66,22,163,254
115,2022,Jul to Sep,Total,68,434,116,227,845
116,2022,Oct to Dec,Completed,71,220,80,24,395
117,2022,Oct to Dec,Other,2,4,2,8,16
118,2022,Oct to Dec,Terminated,4,15,36,56,111
119,2022,Oct to Dec,Total,77,239,118,88,522
120,2023,Jan to Mar,Completed,56,201,51,20,328
121,2023,Jan to Mar,Other,3,12,2,8,25
122,2023,Jan to Mar,Terminated,3,32,22,50,107
123,2023,Jan to Mar,Total,62,245,75,78,460
