Year,Month,Caernarfon,Humberside,Inverness,Lee_On_Solent,Lydd,Newquay,Portland,Prestwick,St_Athan,Stornoway,Sumburgh,Total
2019,May,24,15,22,18,17,27,[x],22,27,14,18,204
2019,June,26,18,21,15,19,34,[x],29,21,14,18,215
2019,Apr to Jun total,72,57,77,57,46,99,[x],83,70,45,46,652
2019,July,33,21,29,19,28,32,[x],35,33,15,13,258
2019,August,44,24,36,22,24,39,[x],41,32,16,17,295
2019,September,23,16,18,25,18,27,[x],33,18,18,15,211
2019,Jul to Sep total,100,61,83,66,70,98,[x],109,83,49,45,764
2019,October,24,12,23,15,10,23,[x],18,17,4,29,175
2019,November,15,15,11,21,13,23,[x],23,15,9,18,163
2019,December,9,9,16,24,18,17,[x],31,14,6,25,169
2019,Oct to Dec total,48,36,50,60,41,63,[x],72,46,19,72,507
2020,January,18,9,17,23,15,14,[x],23,20,6,12,157
2020,February,10,6,26,19,17,9,[x],25,15,13,6,146
2020,March,13,11,20,19,15,15,[x],26,12,8,15,154
2020,Jan to Mar total,41,26,63,61,47,38,[x],74,47,27,33,457
2020,April,5,3,4,11,12,10,[x],6,2,4,7,64
2020,May,10,21,8,33,32,33,[x],22,20,10,3,192
2020,June,12,16,10,28,30,26,[x],29,21,4,7,183
2020,Apr to Jun total,27,40,22,72,74,69,[x],57,43,18,17,439
2020,July,28,26,32,24,26,31,[x],46,30,20,13,276
2020,August,53,25,45,44,31,33,[x],49,45,27,13,365
2020,September,39,17,22,25,17,23,[x],48,24,13,14,242
2020,Jul to Sep total,120,68,99,93,74,87,[x],143,99,60,40,883
2020,October,14,11,18,12,11,19,[x],25,16,12,6,144
2020,November,13,11,14,18,19,14,[x],24,19,12,8,152
2020,December,11,16,16,20,8,20,[x],21,7,4,16,139
2020,Oct to Dec total,38,38,48,50,38,53,[x],70,42,28,30,435
2021,January,14,11,14,20,10,17,[x],24,14,13,15,152
2021,February,10,10,13,11,13,13,[x],23,20,11,12,136
2021,March,9,11,11,6,11,16,[x],33,13,9,14,133
2021,Jan to Mar total,33,32,38,37,34,46,[x],80,47,33,41,421
2021,April,17,16,20,19,10,14,[x],29,23,11,12,171
2021,May,29,12,23,30,21,23,[x],25,26,17,18,224
2021,June,33,12,43,18,23,32,[x],50,29,11,19,270
2021,Apr to Jun total,79,40,86,67,54,69,[x],104,78,39,49,665
2021,July,51,21,48,29,26,40,[x],73,23,22,22,355
2021,August,54,20,53,36,31,35,[x],50,31,16,20,346
2021,September,36,20,34,24,41,29,[x],41,25,17,10,277
2021,Jul to Sep total,141,61,135,89,98,104,[x],164,79,55,52,978
2021,October,23,26,30,24,29,24,[x],44,14,9,12,235
2021,November,14,11,16,17,20,22,[x],30,17,10,11,168
2021,December,20,14,15,19,11,18,[x],29,8,12,12,158
2021,Oct to Dec total,57,51,61,60,60,64,[x],103,39,31,35,561
2022,January,14,18,29,10,13,13,[x],31,12,7,12,159
2022,February,20,9,20,16,15,20,[x],29,18,13,6,166
2022,March,26,17,35,18,12,24,[x],32,24,14,16,218
2022,Jan to Mar total,60,44,84,44,40,57,[x],92,54,34,34,543
2022,April,23,13,25,16,20,30,[x],32,24,19,18,220
2022,May,33,14,37,21,17,33,[x],37,22,24,17,255
2022,June,33,15,37,27,26,23,[x],43,25,21,28,278
2022,Apr to Jun total,89,42,99,64,63,86,[x],112,71,64,63,753
2022,July,52,23,34,28,27,30,[x],47,31,27,21,320
2022,August,50,27,40,25,35,22,[x],42,33,13,20,307
2022,September,26,19,22,22,21,25,[x],36,19,15,13,218
2022,Jul to Sep total,128,69,96,75,83,77,[x],125,83,55,54,845
2022,October,24,21,21,14,21,19,[x],17,11,13,22,183
2022,November,22,13,12,11,17,15,[x],23,17,14,16,160
2022,December,16,10,22,17,18,13,[x],34,12,15,22,179
2022,Oct to Dec total,62,44,55,42,56,47,[x],74,40,42,60,522
2023,January,17,11,21,8,8,14,[x],35,12,13,16,155
2023,February,20,7,23,6,17,9,[x],29,7,10,22,150
2023,March,21,11,18,19,6,16,[x],21,13,8,22,155
2023,Jan to Mar total,58,29,62,33,31,39,[x],85,32,31,60,460
